0057	-1.352794e-07	1.050768e-06	2.367437e-06
0079	4.933728e-07	6.526513e-06	1.227955e-05
0162	9.330325e-09	2.534393e-06	5.570887e-06
0190	-1.194261e-08	5.486574e-06	1.166018e-05
0281	3.303071e-07	4.533411e-06	8.427955e-06
0317	-4.446414e-07	2.119783e-06	4.343767e-06
0397	1.269388e-06	9.150428e-06	1.674812e-05
0584	-1.130985e-06	1.499078e-06	4.665194e-06
0626	3.681615e-07	3.915397e-06	6.696281e-06
0738	2.503839e-06	1.126615e-05	2.046513e-05
0874	1.486224e-07	4.152003e-06	7.733195e-06
0933	-3.195720e-06	-3.542165e-07	3.987133e-06
0943	2.162742e-07	3.135948e-06	5.667590e-06
0993	1.510962e-06	6.952118e-06	1.219662e-05
0999	-1.403811e-07	1.848425e-06	3.842631e-06
1018	4.503220e-08	4.051925e-06	8.402302e-06
1049	-6.659694e-07	1.669232e-06	4.927503e-06
1072	1.223037e-07	3.583896e-06	6.849025e-06
1271	3.752063e-08	3.457647e-06	6.693025e-06
1298	1.219607e-07	3.187947e-06	5.107146e-06
1361	4.903532e-08	4.096296e-06	7.718724e-06
1436	1.339359e-07	2.339866e-06	4.141370e-06
1556	1.359926e-06	4.715862e-06	6.674961e-06
1659	3.038576e-09	2.358146e-06	5.373221e-06
3007	4.709858e-07	3.051057e-06	4.866858e-06
3030	9.603615e-08	3.419380e-06	6.130597e-06
3092	4.145763e-07	3.179756e-06	4.938383e-06
3148	-1.247492e-06	-1.294472e-07	2.112341e-06
3164	5.051215e-08	2.837048e-06	5.360290e-06
3173	2.305922e-07	4.000650e-06	6.946988e-06
3179	1.174881e-07	5.571902e-06	1.015634e-05
3266	5.269657e-07	3.766499e-06	6.285937e-06
3272	-3.611299e-07	1.582227e-06	3.519033e-06
3480	2.425077e-06	7.824334e-06	1.148826e-05
3503	1.479860e-07	2.717382e-06	4.308708e-06
3550	-4.420300e-07	2.058010e-06	5.008423e-06
3685	6.630405e-08	5.579134e-06	1.261081e-05
3885	8.328644e-07	7.339113e-06	1.271526e-05
3896	4.305265e-07	8.264499e-06	1.880051e-05
3981	1.599784e-07	3.815124e-06	6.556600e-06
