00	-1.149044e-07	2.909202e-06
01	-5.518111e-07	1.723251e-06
03	-2.629096e-08	4.328755e-06
05	5.115746e-08	3.419742e-06
06	-2.870710e-07	2.951109e-06
07	2.438363e-07	3.826181e-06
08	3.932795e-07	5.099711e-06
10	8.630007e-08	3.998480e-06
11	-6.950930e-08	2.786769e-06
12	7.348576e-07	6.115295e-06
14	2.603768e-07	3.635587e-06
16	3.436929e-07	3.441289e-06
17	5.735705e-08	3.822870e-06
19	8.290879e-08	4.522231e-06
21	1.665147e-08	3.520687e-06
23	1.676893e-07	4.360598e-06
24	1.502863e-07	3.725651e-06
25	-1.135077e-07	3.393277e-06
26	1.308132e-07	3.667000e-06
28	4.035698e-07	4.638557e-06
31	1.612671e-07	3.561465e-06
32	2.812159e-07	3.118877e-06
