0000	1.721970e-07	4.370549e-06	8.553522e-06
0001	1.754736e-07	5.011163e-06	9.872750e-06
0002	1.386411e-08	4.321739e-06	8.775841e-06
0003	1.313003e-07	4.722317e-06	9.583434e-06
0005	7.973540e-08	5.523929e-06	1.132937e-05
0006	3.571016e-07	5.369697e-06	1.046900e-05
0009	4.022509e-07	4.887325e-06	9.315561e-06
0010	-7.903375e-07	3.203442e-06	7.302936e-06
0011	4.790835e-07	4.555237e-06	7.841566e-06
0017	-4.815429e-08	4.647408e-06	9.545818e-06
0018	1.940501e-07	6.023725e-06	1.292906e-05
0021	-1.170732e-07	2.896480e-06	5.702445e-06
0022	1.119487e-06	7.683629e-06	1.442312e-05
0023	3.578466e-08	3.540829e-06	6.979844e-06
0028	5.751028e-07	4.993606e-06	8.859216e-06
0030	3.086033e-07	5.278087e-06	9.903063e-06
0032	1.482639e-08	3.715084e-06	7.878364e-06
0033	2.251260e-07	5.384370e-06	1.019337e-05
0073	3.790364e-07	5.559549e-06	1.009221e-05
0119	4.624283e-08	4.295151e-06	8.478958e-06
0169	8.635087e-07	6.027089e-06	1.088921e-05
0218	7.869223e-08	4.626686e-06	9.186114e-06
0470	2.505471e-07	6.157783e-06	1.301260e-05
0521	1.822551e-07	4.883073e-06	9.567718e-06
0556	1.829952e-07	4.721968e-06	9.315454e-06
0726	8.143073e-07	6.499476e-06	1.193241e-05
0751	4.414160e-07	5.767434e-06	1.138270e-05
0852	1.260510e-06	9.624517e-06	1.802414e-05
0871	8.935466e-08	4.029047e-06	8.240508e-06
1028	-7.168462e-08	3.198912e-06	6.807239e-06
1066	-4.629296e-07	4.137049e-06	9.067106e-06
