10.000000 46.195748
20.000000 46.195748
30.000000 46.195749
40.000000 46.195751
50.000000 46.195755
60.000000 46.195764
70.000000 46.195779
80.000000 46.195803
90.000000 46.195837
100.000000 46.195887
110.000000 46.195956
120.000000 46.196049
130.000000 46.196172
140.000000 46.196331
150.000000 46.196532
160.000000 46.196783
170.000000 46.197092
180.000000 46.197466
190.000000 46.197913
200.000000 46.198441
210.000000 46.199058
220.000000 46.199772
230.000000 46.200589
240.000000 46.201517
250.000000 46.202562
260.000000 46.203731
270.000000 46.205029
280.000000 46.206460
290.000000 46.208030
300.000000 46.209742
