0000	1.760765e+03	1.760786e+03	1.761517e+03	1.763430e+03
0009	1.766269e+03	1.766258e+03	1.766729e+03	1.768556e+03
0033	1.768698e+03	1.768676e+03	1.769355e+03	1.772119e+03
0037	1.747336e+03	1.747344e+03	1.747974e+03	1.749933e+03
0048	1.781217e+03	1.781239e+03	1.782132e+03	1.784751e+03
0050	1.765625e+03	1.765675e+03	1.766936e+03	1.770353e+03
0063	1.787668e+03	1.787616e+03	1.788483e+03	1.792197e+03
0099	1.747588e+03	1.747519e+03	1.747448e+03	1.748389e+03
0164	1.766911e+03	1.766947e+03	1.767686e+03	1.769470e+03
0212	1.765625e+03	1.765636e+03	1.766280e+03	1.768122e+03
0221	1.750842e+03	1.750832e+03	1.751229e+03	1.752694e+03
0240	1.725592e+03	1.725747e+03	1.728161e+03	1.734818e+03
0286	1.764928e+03	1.764950e+03	1.765794e+03	1.768167e+03
0299	1.767226e+03	1.767203e+03	1.767675e+03	1.769343e+03
0327	1.803792e+03	1.803822e+03	1.805066e+03	1.809044e+03
0357	1.777189e+03	1.777161e+03	1.777580e+03	1.779198e+03
0401	1.732119e+03	1.732133e+03	1.733016e+03	1.735708e+03
0434	1.744066e+03	1.744054e+03	1.744714e+03	1.746928e+03
0439	1.753302e+03	1.753249e+03	1.753741e+03	1.756111e+03
0452	1.757122e+03	1.757107e+03	1.757745e+03	1.760289e+03
0474	1.802733e+03	1.802652e+03	1.802865e+03	1.804635e+03
0586	1.787893e+03	1.787948e+03	1.789786e+03	1.795168e+03
0617	1.734310e+03	1.734272e+03	1.734445e+03	1.735763e+03
0647	1.744456e+03	1.744514e+03	1.745660e+03	1.748400e+03
0651	1.804979e+03	1.804998e+03	1.805839e+03	1.808292e+03
0659	1.760069e+03	1.760065e+03	1.760429e+03	1.761837e+03
0674	1.791924e+03	1.791891e+03	1.792559e+03	1.795131e+03
0691	1.773080e+03	1.773078e+03	1.773717e+03	1.775958e+03
0720	1.763231e+03	1.763228e+03	1.763782e+03	1.765842e+03
0805	1.790786e+03	1.790806e+03	1.791971e+03	1.795128e+03
0809	1.776482e+03	1.776511e+03	1.777492e+03	1.780317e+03
0810	1.758649e+03	1.758597e+03	1.758822e+03	1.760240e+03
0835	1.745293e+03	1.745274e+03	1.745720e+03	1.747300e+03
0843	1.778000e+03	1.777991e+03	1.778727e+03	1.781207e+03
0847	1.754308e+03	1.754280e+03	1.754629e+03	1.756494e+03
0860	1.795094e+03	1.795082e+03	1.795614e+03	1.797336e+03
0863	1.772718e+03	1.772745e+03	1.773682e+03	1.776098e+03
0866	1.769984e+03	1.770023e+03	1.771101e+03	1.773922e+03
0874	1.757125e+03	1.757066e+03	1.757144e+03	1.758157e+03
0885	1.791002e+03	1.790995e+03	1.791756e+03	1.794121e+03
0914	1.761194e+03	1.761159e+03	1.761810e+03	1.764880e+03
0968	1.728419e+03	1.728392e+03	1.728934e+03	1.730596e+03
1087	1.753239e+03	1.753197e+03	1.753629e+03	1.755857e+03
